Date : 2025-09-04 15:50:22
Directory : c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me
Total : 287 files,  71491 codes, 616 comments, 4558 blanks, all 76665 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         29 |     32,656 |          0 |         11 |     32,667 |
| TypeScript JSX     |        147 |     23,563 |        402 |      1,524 |     25,489 |
| YAML               |          2 |      9,206 |          0 |      2,194 |     11,400 |
| TypeScript         |         72 |      4,536 |        167 |        590 |      5,293 |
| Markdown           |         10 |        701 |          0 |        208 |        909 |
| MS SQL             |         20 |        466 |         44 |          9 |        519 |
| PostCSS            |          1 |        253 |          2 |         11 |        266 |
| JSON with Comments |          3 |         62 |          0 |          3 |         65 |
| JavaScript         |          2 |         40 |          1 |          7 |         48 |
| XML                |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        287 |     71,491 |        616 |      4,558 |     76,665 |
| . (Files)                                                                                                                       |         10 |      9,673 |          0 |      2,265 |     11,938 |
| .github                                                                                                                         |          1 |         55 |          0 |         11 |         66 |
| docs                                                                                                                            |          6 |        461 |          0 |        129 |        590 |
| packages                                                                                                                        |        270 |     61,302 |        616 |      2,153 |     64,071 |
| packages\core                                                                                                                   |        261 |     60,741 |        615 |      2,088 |     63,444 |
| packages\core (Files)                                                                                                           |         10 |        287 |          2 |         23 |        312 |
| packages\core\app                                                                                                               |        110 |     17,804 |        374 |      1,107 |     19,285 |
| packages\core\app (Files)                                                                                                       |          7 |      1,193 |         21 |         68 |      1,282 |
| packages\core\app\(auth)                                                                                                        |          6 |        476 |          4 |         26 |        506 |
| packages\core\app\(auth)\forget-password                                                                                        |          1 |        120 |          1 |          7 |        128 |
| packages\core\app\(auth)\reset-password                                                                                         |          1 |         93 |          0 |          3 |         96 |
| packages\core\app\(auth)\sign-in                                                                                                |          2 |         69 |          1 |          5 |         75 |
| packages\core\app\(auth)\two-factor                                                                                             |          2 |        194 |          2 |         11 |        207 |
| packages\core\app\(auth)\two-factor (Files)                                                                                     |          1 |         93 |          0 |          5 |         98 |
| packages\core\app\(auth)\two-factor\otp                                                                                         |          1 |        101 |          2 |          6 |        109 |
| packages\core\app\accept-invitation                                                                                             |          2 |        215 |          0 |         12 |        227 |
| packages\core\app\accept-invitation\[id]                                                                                        |          2 |        215 |          0 |         12 |        227 |
| packages\core\app\api                                                                                                           |         37 |      2,285 |         68 |        324 |      2,677 |
| packages\core\app\api (Files)                                                                                                   |          2 |         13 |          1 |          5 |         19 |
| packages\core\app\api-docs                                                                                                      |          1 |        177 |          1 |          9 |        187 |
| packages\core\app\api\admin                                                                                                     |          1 |         47 |          1 |          7 |         55 |
| packages\core\app\api\admin\users                                                                                               |          1 |         47 |          1 |          7 |         55 |
| packages\core\app\api\admin\users\[id]                                                                                          |          1 |         47 |          1 |          7 |         55 |
| packages\core\app\api\auth                                                                                                      |          1 |          3 |          0 |          2 |          5 |
| packages\core\app\api\auth\[...all]                                                                                             |          1 |          3 |          0 |          2 |          5 |
| packages\core\app\api\creator                                                                                                   |         13 |        678 |         11 |        114 |        803 |
| packages\core\app\api\creator\apikeys                                                                                           |          1 |         52 |          0 |         11 |         63 |
| packages\core\app\api\creator\blog                                                                                              |          1 |        192 |          9 |         25 |        226 |
| packages\core\app\api\creator\configs                                                                                           |          1 |         26 |          0 |          7 |         33 |
| packages\core\app\api\creator\entitlements                                                                                      |          1 |         25 |          1 |          7 |         33 |
| packages\core\app\api\creator\instances                                                                                         |          3 |         99 |          1 |         21 |        121 |
| packages\core\app\api\creator\instances (Files)                                                                                 |          1 |         30 |          1 |          8 |         39 |
| packages\core\app\api\creator\instances\[id]                                                                                    |          2 |         69 |          0 |         13 |         82 |
| packages\core\app\api\creator\instances\[id]\token                                                                              |          2 |         69 |          0 |         13 |         82 |
| packages\core\app\api\creator\instances\[id]\token\revoke                                                                       |          1 |         32 |          0 |          6 |         38 |
| packages\core\app\api\creator\instances\[id]\token\rotate                                                                       |          1 |         37 |          0 |          7 |         44 |
| packages\core\app\api\creator\master-objects                                                                                    |          3 |        184 |          0 |         24 |        208 |
| packages\core\app\api\creator\master-objects (Files)                                                                            |          1 |         49 |          0 |          8 |         57 |
| packages\core\app\api\creator\master-objects\[id]                                                                               |          2 |        135 |          0 |         16 |        151 |
| packages\core\app\api\creator\master-objects\[id] (Files)                                                                       |          1 |         97 |          0 |          9 |        106 |
| packages\core\app\api\creator\master-objects\[id]\versions                                                                      |          1 |         38 |          0 |          7 |         45 |
| packages\core\app\api\creator\webhooks                                                                                          |          3 |        100 |          0 |         19 |        119 |
| packages\core\app\api\creator\webhooks (Files)                                                                                  |          1 |         38 |          0 |          8 |         46 |
| packages\core\app\api\creator\webhooks\[id]                                                                                     |          1 |         44 |          0 |          7 |         51 |
| packages\core\app\api\creator\webhooks\test                                                                                     |          1 |         18 |          0 |          4 |         22 |
| packages\core\app\api\docs                                                                                                      |          1 |        272 |          2 |         13 |        287 |
| packages\core\app\api\protected                                                                                                 |          1 |         43 |          3 |          7 |         53 |
| packages\core\app\api\public                                                                                                    |          4 |        300 |         15 |         38 |        353 |
| packages\core\app\api\public\blog                                                                                               |          1 |        132 |         10 |         18 |        160 |
| packages\core\app\api\public\blog\[postId]                                                                                      |          1 |        132 |         10 |         18 |        160 |
| packages\core\app\api\public\blog\[postId]\rating                                                                               |          1 |        132 |         10 |         18 |        160 |
| packages\core\app\api\public\marketplace                                                                                        |          3 |        168 |          5 |         20 |        193 |
| packages\core\app\api\public\marketplace\categories                                                                             |          1 |         17 |          0 |          3 |         20 |
| packages\core\app\api\public\marketplace\items                                                                                  |          1 |         82 |          4 |          9 |         95 |
| packages\core\app\api\public\marketplace\requests                                                                               |          1 |         69 |          1 |          8 |         78 |
| packages\core\app\api\sl                                                                                                        |          6 |        361 |         12 |         64 |        437 |
| packages\core\app\api\sl\entitlements                                                                                           |          1 |         65 |          2 |          8 |         75 |
| packages\core\app\api\sl\instances                                                                                              |          4 |        220 |          6 |         44 |        270 |
| packages\core\app\api\sl\instances\[id]                                                                                         |          4 |        220 |          6 |         44 |        270 |
| packages\core\app\api\sl\instances\[id] (Files)                                                                                 |          1 |         29 |          0 |          5 |         34 |
| packages\core\app\api\sl\instances\[id]\config                                                                                  |          1 |        102 |          4 |         21 |        127 |
| packages\core\app\api\sl\instances\[id]\snapshots                                                                               |          1 |         64 |          2 |         12 |         78 |
| packages\core\app\api\sl\instances\[id]\snapshots\[snapshotId]                                                                  |          1 |         64 |          2 |         12 |         78 |
| packages\core\app\api\sl\instances\[id]\snapshots\[snapshotId]\restore                                                          |          1 |         64 |          2 |         12 |         78 |
| packages\core\app\api\sl\instances\[id]\token                                                                                   |          1 |         25 |          0 |          6 |         31 |
| packages\core\app\api\sl\instances\[id]\token\rotate                                                                            |          1 |         25 |          0 |          6 |         31 |
| packages\core\app\api\sl\register                                                                                               |          1 |         76 |          4 |         12 |         92 |
| packages\core\app\api\tools                                                                                                     |          8 |        568 |         23 |         74 |        665 |
| packages\core\app\api\tools\marketplace                                                                                         |          8 |        568 |         23 |         74 |        665 |
| packages\core\app\api\tools\marketplace\admin                                                                                   |          1 |         16 |          0 |          3 |         19 |
| packages\core\app\api\tools\marketplace\categories                                                                              |          2 |        103 |          3 |          8 |        114 |
| packages\core\app\api\tools\marketplace\categories (Files)                                                                      |          1 |         61 |          1 |          4 |         66 |
| packages\core\app\api\tools\marketplace\categories\[id]                                                                         |          1 |         42 |          2 |          4 |         48 |
| packages\core\app\api\tools\marketplace\items                                                                                   |          4 |        348 |         19 |         46 |        413 |
| packages\core\app\api\tools\marketplace\items (Files)                                                                           |          1 |        227 |         12 |         27 |        266 |
| packages\core\app\api\tools\marketplace\items\[id]                                                                              |          1 |         67 |          3 |         10 |         80 |
| packages\core\app\api\tools\marketplace\items\[id]\categories                                                                   |          1 |         67 |          3 |         10 |         80 |
| packages\core\app\api\tools\marketplace\items\categories                                                                        |          2 |         54 |          4 |          9 |         67 |
| packages\core\app\api\tools\marketplace\items\categories (Files)                                                                |          1 |         24 |          1 |          4 |         29 |
| packages\core\app\api\tools\marketplace\items\categories\batch                                                                  |          1 |         30 |          3 |          5 |         38 |
| packages\core\app\api\tools\marketplace\requests                                                                                |          1 |        101 |          1 |         17 |        119 |
| packages\core\app\apps                                                                                                          |          1 |        107 |          0 |          7 |        114 |
| packages\core\app\apps\register                                                                                                 |          1 |        107 |          0 |          7 |        114 |
| packages\core\app\blog                                                                                                          |          4 |      1,227 |         23 |         61 |      1,311 |
| packages\core\app\blog (Files)                                                                                                  |          1 |        590 |         18 |         29 |        637 |
| packages\core\app\blog\[slug]                                                                                                   |          1 |        231 |          0 |          2 |        233 |
| packages\core\app\blog\public                                                                                                   |          1 |        337 |          4 |         22 |        363 |
| packages\core\app\blog\rss                                                                                                      |          1 |         69 |          1 |          8 |         78 |
| packages\core\app\dashboard                                                                                                     |         44 |     10,495 |        209 |        501 |     11,205 |
| packages\core\app\dashboard (Files)                                                                                             |          2 |        476 |         14 |         31 |        521 |
| packages\core\app\dashboard\admin                                                                                               |          2 |      1,148 |         14 |         38 |      1,200 |
| packages\core\app\dashboard\apikeys                                                                                             |          2 |        110 |          2 |         10 |        122 |
| packages\core\app\dashboard\apikeys (Files)                                                                                     |          1 |         65 |          2 |          6 |         73 |
| packages\core\app\dashboard\apikeys\components                                                                                  |          1 |         45 |          0 |          4 |         49 |
| packages\core\app\dashboard\blog                                                                                                |          6 |      1,236 |          8 |         78 |      1,322 |
| packages\core\app\dashboard\blog (Files)                                                                                        |          1 |        164 |          0 |          7 |        171 |
| packages\core\app\dashboard\blog\categories                                                                                     |          1 |        303 |          1 |         22 |        326 |
| packages\core\app\dashboard\blog\edit                                                                                           |          1 |        143 |          0 |         10 |        153 |
| packages\core\app\dashboard\blog\edit\[id]                                                                                      |          1 |        143 |          0 |         10 |        153 |
| packages\core\app\dashboard\blog\manage                                                                                         |          1 |        276 |          5 |         15 |        296 |
| packages\core\app\dashboard\blog\new                                                                                            |          1 |        112 |          0 |          8 |        120 |
| packages\core\app\dashboard\blog\settings                                                                                       |          1 |        238 |          2 |         16 |        256 |
| packages\core\app\dashboard\configs                                                                                             |          2 |         70 |          0 |          8 |         78 |
| packages\core\app\dashboard\configs (Files)                                                                                     |          1 |         34 |          0 |          4 |         38 |
| packages\core\app\dashboard\configs\components                                                                                  |          1 |         36 |          0 |          4 |         40 |
| packages\core\app\dashboard\entitlements                                                                                        |          2 |         73 |          0 |          8 |         81 |
| packages\core\app\dashboard\entitlements (Files)                                                                                |          1 |         34 |          0 |          4 |         38 |
| packages\core\app\dashboard\entitlements\components                                                                             |          1 |         39 |          0 |          4 |         43 |
| packages\core\app\dashboard\instances                                                                                           |          2 |         85 |          0 |          9 |         94 |
| packages\core\app\dashboard\instances (Files)                                                                                   |          1 |         33 |          0 |          4 |         37 |
| packages\core\app\dashboard\instances\components                                                                                |          1 |         52 |          0 |          5 |         57 |
| packages\core\app\dashboard\objects                                                                                             |          4 |        699 |         17 |         45 |        761 |
| packages\core\app\dashboard\objects (Files)                                                                                     |          1 |         38 |          1 |          4 |         43 |
| packages\core\app\dashboard\objects\[id]                                                                                        |          1 |        574 |         15 |         33 |        622 |
| packages\core\app\dashboard\objects\components                                                                                  |          1 |         40 |          0 |          4 |         44 |
| packages\core\app\dashboard\objects\new                                                                                         |          1 |         47 |          1 |          4 |         52 |
| packages\core\app\dashboard\tools                                                                                               |         16 |      4,648 |        145 |        217 |      5,010 |
| packages\core\app\dashboard\tools\marketplace                                                                                   |         13 |      4,336 |        143 |        182 |      4,661 |
| packages\core\app\dashboard\tools\marketplace (Files)                                                                           |          1 |          5 |          0 |          3 |          8 |
| packages\core\app\dashboard\tools\marketplace-scrape                                                                            |          3 |        312 |          2 |         35 |        349 |
| packages\core\app\dashboard\tools\marketplace\categories                                                                        |          2 |        621 |         35 |         28 |        684 |
| packages\core\app\dashboard\tools\marketplace\explorer                                                                          |          6 |      2,990 |        103 |        100 |      3,193 |
| packages\core\app\dashboard\tools\marketplace\explorer (Files)                                                                  |          2 |      1,453 |         37 |         49 |      1,539 |
| packages\core\app\dashboard\tools\marketplace\explorer\components                                                               |          4 |      1,537 |         66 |         51 |      1,654 |
| packages\core\app\dashboard\tools\marketplace\new                                                                               |          2 |        581 |          5 |         36 |        622 |
| packages\core\app\dashboard\tools\marketplace\requests                                                                          |          2 |        139 |          0 |         15 |        154 |
| packages\core\app\dashboard\userprofile                                                                                         |          4 |      1,829 |          9 |         46 |      1,884 |
| packages\core\app\dashboard\webhooks                                                                                            |          2 |        121 |          0 |         11 |        132 |
| packages\core\app\dashboard\webhooks (Files)                                                                                    |          1 |         78 |          0 |          7 |         85 |
| packages\core\app\dashboard\webhooks\components                                                                                 |          1 |         43 |          0 |          4 |         47 |
| packages\core\app\debug                                                                                                         |          2 |        204 |          4 |         13 |        221 |
| packages\core\app\debug\api-keys                                                                                                |          1 |         14 |          0 |          3 |         17 |
| packages\core\app\debug\client-test                                                                                             |          1 |        190 |          4 |         10 |        204 |
