Date : 2025-09-09 17:37:34
Directory : c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me
Total : 360 files,  94533 codes, 804 comments, 5093 blanks, all 100430 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         33 |     48,330 |          0 |         11 |     48,341 |
| TypeScript JSX     |        170 |     27,832 |        477 |      1,802 |     30,111 |
| YAML               |          2 |      9,206 |          0 |      2,194 |     11,400 |
| TypeScript         |        109 |      6,942 |        217 |        793 |      7,952 |
| Markdown           |         10 |        734 |          0 |        213 |        947 |
| MS SQL             |         28 |        732 |         66 |         27 |        825 |
| PostCSS            |          2 |        643 |         37 |         42 |        722 |
| JSON with Comments |          3 |         62 |          0 |          3 |         65 |
| JavaScript         |          2 |         44 |          7 |          7 |         58 |
| XML                |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        360 |     94,533 |        804 |      5,093 |    100,430 |
| . (Files)                                                                                                                       |         10 |      9,673 |          0 |      2,265 |     11,938 |
| .backups                                                                                                                        |          3 |      1,675 |         26 |         87 |      1,788 |
| .backups (Files)                                                                                                                |          1 |        711 |         12 |         38 |        761 |
| .backups\packages                                                                                                               |          2 |        964 |         14 |         49 |      1,027 |
| .backups\packages\core                                                                                                          |          2 |        964 |         14 |         49 |      1,027 |
| .backups\packages\core\app                                                                                                      |          2 |        964 |         14 |         49 |      1,027 |
| .github                                                                                                                         |          1 |         88 |          0 |         16 |        104 |
| docs                                                                                                                            |          6 |        461 |          0 |        129 |        590 |
| packages                                                                                                                        |        340 |     82,636 |        778 |      2,596 |     86,010 |
| packages\core                                                                                                                   |        331 |     82,075 |        777 |      2,531 |     85,383 |
| packages\core (Files)                                                                                                           |         10 |        291 |          8 |         23 |        322 |
| packages\core\app                                                                                                               |        149 |     22,281 |        465 |      1,428 |     24,174 |
| packages\core\app (Files)                                                                                                       |          7 |      1,330 |         55 |         88 |      1,473 |
